"id";"description";"image_path";"release_date";"title";"tmdb_id"
1;"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/yF45egpHwaYLn4jTyZAgk0Cmug9.jpg";"2020-10-16 00:00:00.000000";"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train";635302
2;"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/1UCOF11QCw8kcqvce8LKOO6pimh.jpg";"2020-12-03 00:00:00.000000";"Monster Hunter";458576
3;"A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8UlWHLMpgZm9bx6QYh0NFoq67TZ.jpg";"2020-12-16 00:00:00.000000";"Wonder Woman 1984";464052
4;"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4VlXER3FImHeFuUjBShFamhIp9M.jpg";"2020-04-12 00:00:00.000000";"Mortal Kombat Legends: Scorpion's Revenge";664767
5;"A group of unlikely heroes from across the Korean peninsula try to save the day after a volcano erupts on the mythical and majestic Baekdu Mountain.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/zoeKREZ2IdAUnXISYCS0E6H5BVh.jpg";"2019-12-19 00:00:00.000000";"Ashfall";581387
6;"An adventure-loving couple convince their friends to explore a remote, uncharted cave system in the forests of Northern Australia. With a tropical storm approaching, they abseil into the mouth of the cave, but when the caves start to flood, tensions rise as oxygen levels fall and the friends find themselves trapped. Unknown to them, the storm has also brought in a pack of dangerous and hungry crocodiles.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/95S6PinQIvVe4uJAd82a2iGZ0rA.jpg";"2020-07-09 00:00:00.000000";"Black Water: Abyss";522444
7;"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/tbVZ3Sq88dZaCANlUcewQuHQOaE.jpg";"2020-11-25 00:00:00.000000";"The Croods: A New Age";529203
8;"During a school field trip, Ladybug and Cat Noir meet the American superheroes, whom they have to save from an akumatised super-villain. They discover that Miraculous exist in the United States too.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/kIHgjAkuzvKBnmdstpBOo4AfZah.jpg";"2020-09-26 00:00:00.000000";"Miraculous World: New York, United HeroeZ";755812
9;"Joe Gardner is a middle school teacher with a love for jazz music. After a successful gig at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg";"2020-12-25 00:00:00.000000";"Soul";508442
10;"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/2W4ZvACURDyhiNnSIaFPHfNbny3.jpg";"2020-10-25 00:00:00.000000";"Skylines";560144
11;"Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/mKvw1Ic9enfFlCPBNJGiejRPMUO.jpg";"2020-09-30 00:00:00.000000";"Vanguard";604822
12;"Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/eLT8Cu357VOwBVTitkmlDEg32Fs.jpg";"2020-11-20 00:00:00.000000";"Jiu Jitsu";590706
13;"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.";"https://www.themoviedb.org/t/p/w600_and_h900_bestv2/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg";"2020-02-05 00:00:00.000000";"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)";495764
